ANKET ﾹ;SLEEP GROUP 5;SLEEP GROUP normal 5-10;SLEEP GROUP normal 6-9;SLEEP GROUP normal 7-8;SLEEP HOURS;DREAMS often;DREAMS yes/no;DREAMS;PHASE  yes/no;PHASE often;PHASE oftenN;PHASE;LD often;LD yes/no;LD;FALSE often;FALSE yes/no;FALSE ;PARALISYS often;PARALISYS yes/no;PARALISYS;OBE often;OBE yes/no;OBE;KNOW;AGE GROUP 10;AGE GROUP 5;AGE;SEX
964;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;no;no;often;yes;often;no;no;no;no;31-40;31-35;32;n/a
965;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;no;no;yes;21-30;26-30;27;m
966;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;no;no;yes;21-30;21-25;24;w
967;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;once;n/a;21-30;21-25;23;w
968;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;often;yes;often;no;no;no;no;11-20;10-15;15;w
969;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;10-15;15;w
970;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;once;no;yes;sometimes;no;yes;sometimes;no;21-30;26-30;28;w
971;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;11-20;16-20;20;w
972;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;11-20;16-20;16;w
973;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;11-20;10-15;15;w
974;<5;<5;<6;<7;3;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;yes;sometimes;no;no;no;no;31-40;36-40;36;m
975;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;no;no;no;31-40;36-40;37;m
976;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;10-15;14;w
977;7-8;7;6-9;7-8;7;no;no;no;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;35;w
978;5-6;6;6-9;<7;6;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;28;w
979;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;17;w
980;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;21-25;25;w
981;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;29;w
