ANKET ﾹ;SLEEP GROUP 5;SLEEP GROUP normal 5-10;SLEEP GROUP normal 6-9;SLEEP GROUP normal 7-8;SLEEP HOURS;DREAMS often;DREAMS yes/no;DREAMS;PHASE  yes/no;PHASE often;PHASE oftenN;PHASE;LD often;LD yes/no;LD;FALSE often;FALSE yes/no;FALSE ;PARALISYS often;PARALISYS yes/no;PARALISYS;OBE often;OBE yes/no;OBE;KNOW;AGE GROUP 10;AGE GROUP 5;AGE;SEX
98;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;17;m
99;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;51-60;56-60;58;m
100;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;11-20;10-15;14;w
101;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;no;no;no;often;yes;often;yes;11-20;16-20;16;m
102;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often2;often;often;yes;often;no;yes;sometimes;no;no;no;often;yes;often;no;11-20;16-20;17;m
103;<5;<5;<6;<7;4;no;yes;sometimes;yes;often;often3;often;often;yes;often;no;yes;sometimes;often;yes;often;often;yes;often;yes;21-30;21-25;21;w
104;9-10;10;>9;>8;10;often;yes;often;yes;often;often;often;n/a;n/a;n/a;no;no;no;often;yes;often;n/a;n/a;n/a;yes;11-20;10-15;12;w
105;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;often;yes;often;yes;>60;71-90;75;w
106;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;yes;sometimes;no;yes;once;no;41-50;46-50;46;w
107;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;once;no;yes;once;no;51-60;51-55;51;m
108;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;once;no;yes;sometimes;yes;11-20;16-20;18;w
109;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;17;m
110;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;51-60;56-60;57;w
111;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;no;51-60;51-55;55;m
112;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;no;no;yes;21-30;21-25;21;m
113;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;no;no;yes;31-40;31-35;32;w
114;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;20;m
115;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;20;m
116;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;11-20;16-20;18;m
117;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;no;no;no;11-20;16-20;18;m
118;5-6;5;<6;<7;5;often;yes;often;yes;often;often2;often;no;yes;sometimes;often;yes;often;often;yes;often;no;yes;sometimes;no;11-20;10-15;15;m
119;5-6;5;<6;<7;5;often;yes;often;yes;often;often2;often;often;yes;often;no;yes;sometimes;often;yes;often;no;yes;sometimes;yes;n/a;n/a;n/a;w
120;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;no;no;no;no;no;often;yes;often;n/a;11-20;16-20;19;w
121;<5;<5;<6;<7;4;no;yes;sometimes;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;no;no;n/a;21-30;21-25;21;w
122;5-6;5;<6;<7;5;often;yes;often;yes;often;often2;often;no;yes;sometimes;no;yes;once;often;yes;often;often;yes;often;n/a;21-30;21-25;21;w
123;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;n/a;n/a;n/a;n/a;n/a
124;5-6;5;<6;<7;5;often;yes;often;yes;often;often2;often;often;yes;often;no;no;no;no;yes;sometimes;often;yes;often;n/a;n/a;n/a;n/a;w
125;5-6;5;<6;<7;5;no;no;no;yes;often;often;often;no;no;no;no;no;no;no;no;no;often;yes;often;no;n/a;n/a;n/a;m
126;>10;>10;>9;>8;12;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;often;yes;often;no;yes;sometimes;yes;n/a;n/a;n/a;m
128;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;no;no;no;often;yes;often;no;21-30;21-25;21;m
129;<5;<5;<6;<7;3;often;yes;often;yes;often;often;often;no;no;no;no;no;no;no;no;no;often;yes;often;yes;21-30;21-25;22;w
130;5-6;5;<6;<7;5;often;yes;often;yes;often;often2;often;often;yes;often;no;no;no;no;no;no;often;yes;often;yes;11-20;16-20;16;m
131;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;41-50;41-45;45;w
132;9-10;10;>9;>8;10;no;yes;sometimes;yes;no;no;sometimes;no;yes;once;no;yes;sometimes;no;yes;sometimes;no;no;no;no;41-50;41-45;43;w
133;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;51-60;51-55;55;m
134;9-10;9;6-9;>8;9;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;16;w
135;5-6;6;6-9;<7;6;often;yes;often;yes;often;often3;often;often;yes;often;often;yes;often;no;no;no;often;yes;often;yes;41-50;41-45;45;w
136;5-6;6;6-9;<7;6;often;yes;often;yes;often;often3;often;often;yes;often;often;yes;often;no;no;no;often;yes;often;yes;21-30;21-25;21;m
137;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;yes;sometimes;yes;31-40;31-35;35;m
138;7-8;8;6-9;7-8;8;n/a;n/a;n/a;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;yes;>60;61-70;63;m
139;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;21-25;25;m
140;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;yes;21-30;21-25;22;m
141;7-8;7;6-9;7-8;7;no;no;no;yes;no;no;once;no;no;no;no;no;no;no;no;no;no;yes;once;yes;21-30;21-25;22;w
142;9-10;10;>9;>8;10;often;yes;often;yes;often;often3;often;often;yes;often;often;yes;often;no;yes;sometimes;often;yes;often;yes;31-40;31-35;34;m
143;5-6;5;<6;<7;5;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;56-60;57;m
144;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;no;no;no;no;no;no;no;no;no;often;yes;often;no;>60;71-90;72;w
145;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;yes;41-50;41-45;45;w
146;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;once;no;no;no;no;no;no;no;yes;sometimes;yes;31-40;36-40;36;w
147;<5;<5;<6;<7;3;often;yes;often;yes;often;often3;often;often;yes;often;often;yes;often;often;yes;often;no;yes;once;no;21-30;21-25;22;m
148;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;31-40;36-40;37;m
149;<5;<5;<6;<7;4;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;31-40;36-40;39;m
150;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;yes;once;no;yes;once;no;no;no;yes;51-60;51-55;53;w
151;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;once;often;yes;often;no;no;no;no;yes;once;yes;21-30;21-25;22;w
152;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;once;often;yes;often;n/a;21-30;21-25;24;w
153;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;yes;sometimes;yes;>60;71-90;72;m
154;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;10-15;15;m
155;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;21-25;22;w
156;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;21-25;23;w
157;7-8;8;6-9;7-8;8;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;20;w
158;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;11-20;16-20;20;w
159;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;16;m
160;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;no;no;no;no;no;yes;11-20;16-20;16;m
161;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;yes;>60;71-90;72;w
162;5-6;6;6-9;<7;6;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;56-60;59;w
163;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;11-20;16-20;17;m
164;9-10;10;>9;>8;10;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;41-50;46-50;50;w
165;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;often;yes;often;yes;31-40;36-40;36;w
166;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;yes;sometimes;no;no;no;yes;>60;61-70;61;w
167;7-8;7;6-9;7-8;7;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;51-55;52;w
168;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;once;no;no;no;no;31-40;36-40;37;m
169;n/a;n/a;n/a;n/a;n/a;often;yes;often;yes;often;often;often;no;no;no;n/a;n/a;n/a;no;no;no;often;yes;often;yes;>60;61-70;62;w
170;5-6;6;6-9;<7;6;often;yes;often;yes;often;often2;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;often;yes;often;yes;21-30;26-30;30;w
171;n/a;n/a;n/a;n/a;n/a;no;yes;sometimes;yes;often;often;often;no;no;no;n/a;n/a;n/a;no;no;no;often;yes;often;yes;>60;61-70;62;m
172;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;31-40;36-40;38;m
173;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;11-20;10-15;15;w
174;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;11-20;16-20;16;m
175;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;no;21-30;21-25;24;w
176;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;31-40;31-35;34;m
177;9-10;9;6-9;>8;9;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;19;n/a
179;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;no;no;yes;11-20;16-20;19;w
180;5-6;5;<6;<7;5;no;yes;sometimes;yes;often;often;often;no;no;no;often;yes;often;no;yes;sometimes;no;no;no;no;51-60;51-55;53;w
181;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;36-40;37;w
182;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;31-40;31-35;32;w
183;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;no;no;yes;31-40;36-40;36;m
184;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;21-25;22;m
185;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;11-20;10-15;14;w
186;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;yes;21-30;21-25;25;w
187;5-6;6;6-9;<7;6;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;18;w
188;5-6;6;6-9;<7;6;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;17;w
189;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;41-50;41-45;42;m
190;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often2;often;often;yes;often;no;no;no;often;yes;often;no;no;no;no;31-40;31-35;34;w
191;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;no;yes;once;no;no;no;no;no;no;often;yes;often;yes;11-20;16-20;19;w
192;9-10;9;6-9;>8;9;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;no;51-60;51-55;53;m
193;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;once;no;no;no;no;no;no;often;yes;often;yes;21-30;21-25;22;m
194;9-10;10;>9;>8;10;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;21-30;21-25;22;m
195;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;no;31-40;31-35;32;m
196;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;once;no;>60;61-70;65;m
197;9-10;10;>9;>8;10;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;often;yes;often;no;no;no;no;yes;sometimes;no;21-30;21-25;24;m
198;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;>60;61-70;65;w
199;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;no;yes;once;often;yes;often;yes;11-20;16-20;18;m
200;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;no;no;no;often;yes;often;n/a;11-20;16-20;17;m
201;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often2;often;often;yes;often;no;yes;sometimes;no;yes;once;often;yes;often;yes;11-20;16-20;18;w
202;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;no;51-60;56-60;58;m
203;9-10;9;6-9;>8;9;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;no;>60;71-90;80;m
204;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;31-35;31;m
205;9-10;9;6-9;>8;9;often;yes;often;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;no;31-40;31-35;35;m
206;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;no;11-20;16-20;18;m
207;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;once;no;no;no;no;yes;once;no;11-20;16-20;17;w
208;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;20;w
209;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;20;w
210;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;often;yes;often;yes;11-20;16-20;18;w
211;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;11-20;16-20;18;m
212;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;no;no;no;yes;once;often;yes;often;no;no;no;no;>60;71-90;73;m
213;>10;>10;>9;>8;11;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;no;no;yes;11-20;16-20;15;m
214;7-8;7;6-9;7-8;7;no;no;no;yes;no;no;once;no;no;no;no;yes;once;no;no;no;no;no;no;no;51-60;51-55;53;m
215;5-6;6;6-9;<7;6;often;yes;often;yes;n/a;n/a;sometimes;no;yes;sometimes;n/a;n/a;n/a;no;yes;once;no;no;no;no;21-30;26-30;29;w
216;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;11-20;16-20;18;w
217;9-10;10;>9;>8;10;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;often;yes;often;no;yes;once;yes;11-20;10-15;15;w
218;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;once;no;no;no;no;no;no;no;no;no;no;yes;once;no;21-30;21-25;24;m
219;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;31-35;33;w
220;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;36-40;37;w
221;5-6;5;<6;<7;5;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;>60;71-90;87;m
222;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;>60;61-70;61;w
223;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;41-50;46-50;46;w
224;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;sometimes;yes;31-40;31-35;34;w
225;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;21-30;26-30;26;w
226;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;no;no;yes;51-60;51-55;54;w
227;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;yes;11-20;10-15;15;w
228;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;no;no;often;yes;often;no;no;no;yes;11-20;16-20;16;w
229;7-8;8;6-9;7-8;8;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;21-25;23;w
230;<5;<5;<6;<7;4;no;no;no;yes;no;no;once;no;no;no;no;yes;once;no;no;no;no;no;no;yes;21-30;21-25;23;m
231;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;11-20;16-20;17;w
232;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;once;no;no;no;no;no;no;no;yes;once;no;no;no;yes;11-20;16-20;19;m
233;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;11-20;10-15;14;m
234;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;11-20;10-15;14;m
235;<5;<5;<6;<7;4;no;yes;sometimes;yes;often;often3;often;often;yes;often;often;yes;often;no;no;no;often;yes;often;yes;11-20;10-15;13;w
236;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;no;no;often;yes;often;yes;11-20;10-15;13;w
237;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;20;w
238;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;once;no;no;no;no;yes;once;no;no;no;no;no;no;yes;11-20;16-20;20;m
239;7-8;8;6-9;7-8;8;often;yes;often;n/a;n/a;n/a;n/a;no;no;no;n/a;n/a;n/a;no;no;no;no;no;no;yes;11-20;16-20;19;w
240;>10;>10;>9;>8;12;often;yes;often;yes;often;often2;often;no;no;no;often;yes;often;no;no;no;often;yes;often;yes;11-20;16-20;19;w
241;9-10;10;>9;>8;10;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;yes;once;yes;21-30;21-25;25;w
242;7-8;7;6-9;7-8;7;often;yes;often;yes;often;often;often;no;no;no;no;yes;sometimes;no;yes;once;often;yes;often;yes;11-20;16-20;16;m
243;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;once;no;yes;once;no;no;no;no;11-20;10-15;15;m
244;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;once;no;no;no;no;no;no;no;no;no;no;yes;once;yes;31-40;31-35;33;w
245;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;no;yes;sometimes;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;no;21-30;26-30;27;m
246;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;18;w
247;>10;>10;>9;>8;14;no;no;no;yes;often;often2;often;often;yes;often;no;no;no;n/a;n/a;n/a;often;yes;often;yes;21-30;26-30;27;m
248;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;yes;once;yes;11-20;16-20;20;w
249;7-8;7;6-9;7-8;7;no;no;no;yes;often;often;often;often;yes;often;no;yes;once;no;yes;sometimes;no;no;no;yes;21-30;26-30;28;m
250;5-6;5;<6;<7;5;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;18;w
251;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;no;31-40;31-35;35;m
252;5-6;5;<6;<7;5;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;16;m
253;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;once;yes;11-20;10-15;15;m
254;<5;<5;<6;<7;4;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;18;m
255;<5;<5;<6;<7;4;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;17;w
256;5-6;5;<6;<7;5;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;26-30;28;m
257;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;often;yes;often;no;yes;sometimes;no;yes;sometimes;no;yes;once;yes;21-30;21-25;24;w
258;<5;<5;<6;<7;4;often;yes;often;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;yes;once;no;no;no;yes;11-20;16-20;16;w
259;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;once;no;no;no;no;no;no;no;no;no;no;yes;once;yes;21-30;21-25;25;m
260;7-8;8;6-9;7-8;8;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;17;w
261;<5;<5;<6;<7;4;no;yes;sometimes;yes;n/a;n/a;sometimes;no;yes;sometimes;no;yes;once;no;yes;once;n/a;n/a;n/a;yes;11-20;16-20;20;m
262;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;often;yes;often;yes;51-60;51-55;52;m
263;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;n/a;11-20;10-15;14;m
264;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;no;no;yes;11-20;16-20;17;w
265;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;n/a;n/a;n/a;no;yes;sometimes;yes;21-30;21-25;21;m
266;>10;>10;>9;>8;12;often;yes;often;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;11-20;16-20;20;m
267;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;41-50;46-50;50;w
268;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;21-30;21-25;22;w
269;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;31-40;31-35;32;w
270;7-8;8;6-9;7-8;8;no;no;no;yes;no;no;once;no;no;no;no;no;no;no;yes;once;no;no;no;no;21-30;26-30;30;m
271;7-8;7;6-9;7-8;7;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;once;no;yes;sometimes;yes;11-20;16-20;17;m
