ANKET ﾹ,SLEEP HOURS ,DREAMS,PHASE,LD,FALSE ,PARALISYS,OBE,KNOW,AGE,SEX
250,5,sometimes,no,no,no,no,no,yes,18,w
187,6,sometimes,no,no,no,no,no,yes,18,w
366,12,sometimes,often,often,no,no,no,yes,18,w
69,4,often,sometimes,sometimes,no,no,no,yes,18,w
33,6,often,sometimes,sometimes,no,no,no,yes,18,w
728,6,often,sometimes,no,sometimes,no,no,yes,18,w
12,9,often,sometimes,no,sometimes,no,no,yes,18,w
577,5,often,sometimes,once,sometimes,no,no,yes,18,w
246,8,often,sometimes,sometimes,sometimes,no,no,yes,18,w
349,14,sometimes,often,often,no,sometimes,no,yes,18,w
308,5,sometimes,often,often,sometimes,sometimes,no,yes,18,w
900,5,often,often,sometimes,sometimes,no,often,yes,18,w
210,8,often,often,sometimes,sometimes,no,often,yes,18,w
518,8,often,often,sometimes,sometimes,no,often,yes,18,w
201,8,sometimes,often,often,sometimes,once,often,yes,18,w
702,8,often,sometimes,sometimes,sometimes,no,once,yes,18,w
665,7,often,sometimes,no,no,no,sometimes,yes,18,w
877,5,sometimes,sometimes,sometimes,no,no,sometimes,yes,18,w
926,3,sometimes,sometimes,no,once,no,sometimes,yes,18,w
637,8,sometimes,often,often,sometimes,no,sometimes,yes,18,w
679,7,often,often,sometimes,sometimes,no,sometimes,yes,18,w
310,5,sometimes,often,sometimes,sometimes,no,sometimes,yes,18,w
108,8,sometimes,often,often,sometimes,once,sometimes,yes,18,w
921,8,sometimes,sometimes,once,once,sometimes,sometimes,yes,18,w
448,8,often,sometimes,sometimes,no,no,no,no,17,w
576,3,often,often,no,often,no,no,no,17,w
231,8,sometimes,sometimes,sometimes,sometimes,no,no,no,17,w
587,6,often,often,often,sometimes,sometimes,no,no,17,w
662,8,often,often,often,no,no,often,no,17,w
664,6,often,often,sometimes,no,no,often,no,17,w
617,7,often,often,no,once,no,often,no,17,w
207,7,often,sometimes,no,once,no,once,no,17,w
789,13,yes,sometimes,yes,yes,yes,yes,no,17,w
188,6,often,no,no,no,no,no,yes,17,w
260,8,often,no,no,no,no,no,yes,17,w
255,4,sometimes,sometimes,sometimes,no,no,no,yes,17,w
979,6,sometimes,sometimes,sometimes,no,no,no,yes,17,w
730,8,sometimes,often,no,often,no,no,yes,17,w
264,8,often,often,often,often,no,no,yes,17,w
92,6,sometimes,often,often,sometimes,no,no,yes,17,w
478,6,often,often,often,no,no,often,yes,17,w
872,6,often,often,often,no,no,often,yes,17,w
839,6,sometimes,often,no,sometimes,no,often,yes,17,w
616,8,often,often,sometimes,sometimes,no,often,yes,17,w
838,4,sometimes,often,sometimes,sometimes,no,often,yes,17,w
524,4,often,often,sometimes,no,once,often,yes,17,w
940,8,sometimes,often,sometimes,often,sometimes,often,yes,17,w
477,6,often,often,sometimes,sometimes,sometimes,often,yes,17,w
660,7,often,often,often,no,no,sometimes,yes,17,w
874,4,sometimes,often,often,no,no,sometimes,yes,17,w
619,5,sometimes,sometimes,sometimes,no,no,sometimes,yes,17,w
627,3,no,sometimes,no,sometimes,no,sometimes,yes,17,w
666,8,often,sometimes,no,sometimes,no,sometimes,yes,17,w
667,8,sometimes,sometimes,no,sometimes,no,sometimes,yes,17,w
542,8,often,often,often,no,once,sometimes,yes,17,w
840,4,often,often,sometimes,sometimes,once,sometimes,yes,17,w
538,10,often,often,sometimes,sometimes,once,sometimes,yes,17,w
837,8,often,often,sometimes,once,sometimes,sometimes,yes,17,w
313,6,no,no,no,no,no,no,no,16,w
502,7,yes,no,no,no,no,no,no,16,w
972,6,often,often,often,no,no,no,no,16,w
399,6,sometimes,sometimes,sometimes,no,no,no,no,16,w
916,6,sometimes,sometimes,sometimes,no,no,no,no,16,w
327,5,often,often,often,sometimes,no,no,no,16,w
800,8,sometimes,sometimes,no,no,sometimes,no,no,16,w
661,7,often,sometimes,sometimes,no,no,sometimes,no,16,w
463,7,sometimes,sometimes,sometimes,no,no,no,yes,16,w
402,6,often,sometimes,once,once,no,no,yes,16,w
57,4,no,sometimes,no,sometimes,no,no,yes,16,w
228,7,often,often,sometimes,no,often,no,yes,16,w
258,4,often,sometimes,no,sometimes,once,no,yes,16,w
805,6,often,often,sometimes,sometimes,no,often,yes,16,w
543,6,sometimes,often,sometimes,sometimes,no,often,yes,16,w
595,4,no,often,no,often,often,often,yes,16,w
711,6,sometimes,often,often,no,no,sometimes,yes,16,w
134,9,sometimes,often,often,no,no,sometimes,yes,16,w
462,5,sometimes,sometimes,sometimes,no,no,sometimes,yes,16,w
646,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,16,w
712,7,often,often,often,sometimes,no,sometimes,yes,16,w
427,6,often,often,often,no,once,sometimes,yes,16,w
539,7,often,sometimes,sometimes,no,once,sometimes,yes,16,w
625,6,sometimes,often,sometimes,sometimes,once,sometimes,yes,16,w
311,8,often,often,sometimes,sometimes,sometimes,sometimes,yes,16,w
312,6,no,no,no,no,no,no,no,15,w
173,8,sometimes,often,often,no,no,no,no,15,w
973,6,often,sometimes,sometimes,no,no,no,no,15,w
968,5,sometimes,often,sometimes,sometimes,often,no,no,15,w
586,7,often,sometimes,no,no,sometimes,no,no,15,w
817,7,often,sometimes,sometimes,no,no,sometimes,no,15,w
469,6,often,sometimes,no,sometimes,no,sometimes,no,15,w
969,5,often,often,often,sometimes,no,no,yes,15,w
4,8,often,often,often,no,often,no,yes,15,w
301,3,sometimes,often,sometimes,sometimes,sometimes,no,yes,15,w
309,5,sometimes,often,sometimes,sometimes,sometimes,no,yes,15,w
512,7,sometimes,often,no,no,no,often,yes,15,w
663,4,sometimes,often,often,sometimes,no,often,yes,15,w
668,8,sometimes,often,once,sometimes,no,often,yes,15,w
626,12,often,sometimes,sometimes,sometimes,no,once,yes,15,w
217,10,often,often,sometimes,sometimes,often,once,yes,15,w
81,7,often,sometimes,once,no,once,once,yes,15,w
227,5,often,often,sometimes,sometimes,sometimes,once,yes,15,w
864,8,often,sometimes,sometimes,no,no,sometimes,yes,15,w
808,5,no,sometimes,yes,yes,no,yes,yes,15,w
185,8,often,often,often,sometimes,no,no,no,14,w
768,8,often,sometimes,sometimes,sometimes,no,no,no,14,w
100,6,sometimes,sometimes,sometimes,sometimes,no,no,no,14,w
326,2,sometimes,often,often,no,no,often,no,14,w
95,8,sometimes,sometimes,sometimes,no,no,sometimes,no,14,w
564,6,sometimes,no,no,no,no,no,yes,14,w
300,5,sometimes,sometimes,sometimes,no,no,no,yes,14,w
565,8,often,sometimes,sometimes,sometimes,no,no,yes,14,w
673,7,often,often,sometimes,no,no,often,yes,14,w
865,8,often,sometimes,sometimes,no,no,sometimes,yes,14,w
976,6,sometimes,sometimes,sometimes,no,no,sometimes,yes,14,w
645,12,sometimes,sometimes,sometimes,no,no,sometimes,yes,14,w
