ANKET ﾹ,SLEEP HOURS ,DREAMS,PHASE,LD,FALSE ,PARALISYS,OBE,KNOW,AGE,SEX
420,7,often,often,often,sometimes,no,once,yes,21,m
527,8,sometimes,sometimes,no,no,no,sometimes,yes,21,m
588,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,21,m
934,7,often,sometimes,sometimes,once,no,sometimes,yes,21,m
589,6,often,often,often,no,once,sometimes,yes,21,m
674,7,sometimes,sometimes,once,sometimes,once,sometimes,yes,21,m
767,6,often,sometimes,once,yes,once,yes,yes,21,m
476,4,sometimes,sometimes,sometimes,sometimes,no,no,no,20,m
763,7,sometimes,sometimes,sometimes,no,once,once,no,20,m
329,6,sometimes,no,no,no,no,no,yes,20,m
114,7,sometimes,no,no,no,no,no,yes,20,m
920,8,sometimes,no,no,no,no,no,yes,20,m
238,6,often,once,no,once,no,no,yes,20,m
783,7,sometimes,often,often,often,often,no,yes,20,m
648,7,sometimes,often,sometimes,once,no,often,yes,20,m
691,7,sometimes,often,sometimes,sometimes,no,often,yes,20,m
812,9,often,often,sometimes,no,often,often,yes,20,m
266,12,often,often,often,no,no,sometimes,yes,20,m
867,7,no,sometimes,sometimes,no,no,sometimes,yes,20,m
537,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,20,m
652,4,often,often,often,sometimes,no,sometimes,yes,20,m
526,8,often,sometimes,sometimes,no,once,sometimes,yes,20,m
115,5,often,often,sometimes,no,sometimes,sometimes,yes,20,m
358,7,often,often,sometimes,often,sometimes,sometimes,yes,20,m
53,7,sometimes,sometimes,sometimes,no,no,no,no,19,m
90,7,often,sometimes,no,sometimes,no,no,no,19,m
371,8,sometimes,sometimes,no,sometimes,once,no,no,19,m
638,6,often,often,often,often,no,often,no,19,m
85,7,sometimes,sometimes,sometimes,sometimes,once,once,no,19,m
778,5,often,sometimes,no,no,sometimes,once,no,19,m
32,6,often,sometimes,no,no,no,sometimes,no,19,m
878,8,sometimes,often,sometimes,sometimes,no,sometimes,no,19,m
491,3,no,once,once,no,no,no,yes,19,m
232,6,sometimes,once,no,no,once,no,yes,19,m
26,8,sometimes,once,no,no,once,no,yes,19,m
470,6,often,often,sometimes,no,no,often,yes,19,m
520,6,sometimes,often,sometimes,once,no,often,yes,19,m
655,4,often,often,sometimes,sometimes,often,often,yes,19,m
5,4,often,often,often,often,sometimes,once,yes,19,m
333,6,often,often,often,no,no,sometimes,yes,19,m
1,5,often,sometimes,sometimes,no,no,sometimes,yes,19,m
487,5,often,often,sometimes,sometimes,no,sometimes,yes,19,m
318,10,sometimes,often,often,sometimes,sometimes,sometimes,yes,19,m
39,6,sometimes,sometimes,yes,yes,no,yes,yes,19,m
760,7,sometimes,once,once,no,no,no,no,18,m
117,6,often,often,sometimes,often,no,no,no,18,m
80,7,sometimes,sometimes,once,no,once,no,no,18,m
797,8,yes,sometimes,no,no,sometimes,no,no,18,m
850,7,often,often,sometimes,no,no,often,no,18,m
836,7,sometimes,often,sometimes,sometimes,often,often,no,18,m
525,6,no,sometimes,once,once,no,sometimes,no,18,m
206,7,sometimes,often,sometimes,sometimes,no,sometimes,no,18,m
650,8,often,no,no,no,no,no,yes,18,m
254,4,sometimes,no,no,no,no,no,yes,18,m
755,8,often,once,once,no,no,no,yes,18,m
761,7,sometimes,once,once,no,no,no,yes,18,m
897,7,sometimes,sometimes,sometimes,no,no,no,yes,18,m
46,6,yes,sometimes,sometimes,sometimes,no,no,yes,18,m
910,7,sometimes,often,often,no,no,often,yes,18,m
848,3,often,often,no,no,once,often,yes,18,m
199,7,often,often,sometimes,no,once,often,yes,18,m
687,5,sometimes,often,sometimes,sometimes,sometimes,often,yes,18,m
559,5,often,often,often,once,no,once,yes,18,m
904,6,often,often,often,once,no,once,yes,18,m
851,8,often,often,often,sometimes,no,sometimes,yes,18,m
653,8,often,sometimes,once,sometimes,no,sometimes,yes,18,m
2,8,often,often,sometimes,sometimes,no,sometimes,yes,18,m
116,6,sometimes,often,sometimes,sometimes,no,sometimes,yes,18,m
949,6,sometimes,often,often,no,sometimes,sometimes,yes,18,m
211,8,often,often,sometimes,sometimes,sometimes,sometimes,yes,18,m
801,6,no,no,no,no,no,no,no,17,m
403,7,often,no,no,no,no,no,no,17,m
700,10,sometimes,no,no,no,no,no,no,17,m
769,7,sometimes,sometimes,sometimes,no,no,no,no,17,m
15,2,sometimes,often,often,once,no,no,no,17,m
163,8,sometimes,sometimes,sometimes,sometimes,no,no,no,17,m
102,8,sometimes,often,often,sometimes,no,often,no,17,m
917,7,often,no,no,no,no,no,yes,17,m
501,5,often,sometimes,sometimes,no,no,no,yes,17,m
279,6,sometimes,sometimes,sometimes,no,no,no,yes,17,m
944,8,sometimes,sometimes,sometimes,no,no,no,yes,17,m
91,6,often,often,often,often,no,no,yes,17,m
631,2,often,often,sometimes,often,no,no,yes,17,m
918,6,sometimes,once,no,once,no,no,yes,17,m
431,8,often,sometimes,sometimes,sometimes,no,no,yes,17,m
618,6,sometimes,once,no,no,once,no,yes,17,m
521,6,often,often,sometimes,no,no,often,yes,17,m
649,8,sometimes,often,no,sometimes,no,often,yes,17,m
683,7,no,often,no,once,sometimes,often,yes,17,m
6,7,sometimes,sometimes,sometimes,no,no,once,yes,17,m
84,3,no,sometimes,no,no,no,sometimes,yes,17,m
471,5,often,sometimes,no,no,no,sometimes,yes,17,m
943,7,often,sometimes,sometimes,no,no,sometimes,yes,17,m
935,4,sometimes,sometimes,sometimes,no,no,sometimes,yes,17,m
98,5,sometimes,often,often,sometimes,no,sometimes,yes,17,m
109,6,often,often,sometimes,sometimes,no,sometimes,yes,17,m
437,7,often,often,sometimes,sometimes,no,sometimes,yes,17,m
271,7,often,sometimes,sometimes,no,once,sometimes,yes,17,m
624,9,often,often,often,sometimes,once,sometimes,yes,17,m
11,7,sometimes,often,sometimes,no,sometimes,sometimes,yes,17,m
401,6,sometimes,sometimes,sometimes,once,no,no,no,16,m
174,8,often,often,often,sometimes,no,no,no,16,m
496,6,yes,often,often,sometimes,no,no,no,16,m
25,6,sometimes,often,often,sometimes,no,often,no,16,m
936,5,sometimes,sometimes,sometimes,no,no,sometimes,no,16,m
500,5,sometimes,often,often,no,no,no,yes,16,m
252,5,sometimes,sometimes,sometimes,no,no,no,yes,16,m
159,8,sometimes,sometimes,sometimes,no,no,no,yes,16,m
398,8,sometimes,sometimes,once,once,no,no,yes,16,m
160,6,sometimes,sometimes,sometimes,once,no,no,yes,16,m
130,5,often,often,often,no,no,often,yes,16,m
101,6,often,often,sometimes,no,no,often,yes,16,m
242,7,often,often,no,sometimes,once,often,yes,16,m
513,8,often,sometimes,no,no,no,sometimes,yes,16,m
680,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,16,m
852,10,often,often,sometimes,sometimes,no,sometimes,yes,16,m
937,8,sometimes,no,no,no,no,no,no,15,m
813,5,often,often,often,sometimes,no,no,no,15,m
243,8,often,sometimes,no,once,once,no,no,15,m
708,7,sometimes,often,sometimes,no,once,often,no,15,m
490,9,sometimes,sometimes,no,sometimes,no,sometimes,no,15,m
682,3,sometimes,sometimes,once,sometimes,no,sometimes,no,15,m
118,5,often,often,sometimes,often,often,sometimes,no,15,m
737,6,sometimes,no,no,no,no,no,yes,15,m
883,7,often,often,often,no,no,no,yes,15,m
154,7,sometimes,sometimes,sometimes,no,no,no,yes,15,m
96,8,sometimes,sometimes,sometimes,no,no,no,yes,15,m
756,7,sometimes,sometimes,no,sometimes,no,no,yes,15,m
213,11,often,often,often,sometimes,sometimes,no,yes,15,m
884,6,sometimes,often,often,often,no,often,yes,15,m
671,7,sometimes,often,often,sometimes,no,often,yes,15,m
832,4,sometimes,often,sometimes,no,sometimes,often,yes,15,m
804,8,often,often,sometimes,sometimes,yes,often,yes,15,m
253,8,sometimes,sometimes,sometimes,no,no,once,yes,15,m
7,6,often,often,often,sometimes,sometimes,once,yes,15,m
947,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,15,m
17,5,often,often,sometimes,sometimes,once,sometimes,yes,15,m
497,8,sometimes,no,no,no,no,no,no,14,m
14,8,sometimes,sometimes,sometimes,no,no,no,no,14,m
234,5,sometimes,sometimes,sometimes,sometimes,no,no,no,14,m
233,6,sometimes,sometimes,sometimes,sometimes,no,no,no,14,m
368,7,sometimes,often,often,no,sometimes,no,no,14,m
495,8,sometimes,yes,no,no,yes,no,no,14,m
83,7,sometimes,often,often,no,no,often,no,14,m
938,6,sometimes,often,sometimes,sometimes,sometimes,often,no,14,m
639,8,sometimes,sometimes,once,once,no,sometimes,no,14,m
694,7,sometimes,often,often,often,no,no,yes,14,m
942,10,sometimes,often,sometimes,no,no,often,yes,14,m
695,3,often,often,often,sometimes,no,often,yes,14,m
738,6,sometimes,yes,yes,no,no,no,yes,13,m
42,8,often,sometimes,yes,yes,yes,no,no,12,m
829,10,often,often,sometimes,no,no,often,no,11,m
676,8,sometimes,often,no,sometimes,no,often,yes,11,m
743,10,often,no,no,no,no,no,no,80,w
562,7,sometimes,once,no,once,no,no,no,80,w
395,7,often,often,often,no,no,once,yes,80,w
946,8,sometimes,sometimes,sometimes,no,no,no,yes,79,w
715,7,often,no,no,no,no,no,no,78,w
716,5,sometimes,often,no,often,no,no,no,78,w
945,8,sometimes,sometimes,sometimes,once,no,sometimes,yes,78,w
483,9,sometimes,sometimes,no,no,sometimes,no,no,77,w
105,7,sometimes,often,often,no,no,often,yes,75,w
929,9,often,sometimes,once,once,no,no,yes,73,w
386,7,sometimes,sometimes,sometimes,no,no,no,no,72,w
144,8,sometimes,often,no,no,no,often,no,72,w
161,6,sometimes,once,once,no,no,no,yes,72,w
76,8,sometimes,often,often,no,no,no,no,70,w
288,7,sometimes,sometimes,once,no,no,once,yes,68,w
718,7,often,sometimes,sometimes,no,no,no,no,67,w
719,6,often,sometimes,sometimes,no,once,no,yes,66,w
198,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,65,w
78,7,sometimes,no,no,no,no,no,no,64,w
713,5,sometimes,no,no,no,no,no,no,63,w
792,6,yes,sometimes,sometimes,no,no,no,no,63,w
295,7,often,often,sometimes,sometimes,no,sometimes,yes,63,w
714,8,often,no,no,no,no,no,no,61,w
222,5,often,often,often,sometimes,no,no,yes,61,w
166,7,sometimes,sometimes,no,no,sometimes,no,yes,61,w
36,8,sometimes,often,often,no,no,sometimes,yes,61,w
607,6,sometimes,often,no,no,no,often,no,60,w
394,6,often,no,no,no,no,no,yes,60,w
578,4,often,often,often,sometimes,no,no,yes,60,w
468,7,no,once,no,no,once,no,yes,60,w
162,6,no,no,no,no,no,no,yes,59,w
751,12,no,no,no,no,no,no,yes,59,w
330,8,often,sometimes,sometimes,no,no,no,yes,59,w
94,10,no,no,no,no,no,no,no,58,w
951,5,sometimes,sometimes,sometimes,no,no,sometimes,no,58,w
49,7,sometimes,no,no,no,no,no,yes,58,w
359,8,often,often,often,often,no,no,no,57,w
110,6,often,often,often,no,no,sometimes,yes,57,w
340,8,often,often,often,sometimes,no,sometimes,yes,57,w
606,8,sometimes,sometimes,no,no,once,once,no,56,w
579,8,sometimes,no,no,no,no,no,yes,56,w
558,6,sometimes,once,once,no,no,no,yes,56,w
82,7,sometimes,sometimes,no,sometimes,no,sometimes,no,54,w
226,7,often,often,often,no,no,no,yes,54,w
932,8,sometimes,often,no,no,no,often,yes,54,w
180,5,sometimes,often,no,often,sometimes,no,no,53,w
596,6,sometimes,sometimes,sometimes,no,no,no,yes,53,w
150,6,often,often,often,once,once,no,yes,53,w
408,6,often,often,often,sometimes,no,often,yes,53,w
957,6,no,no,no,no,no,no,no,52,w
328,6,sometimes,sometimes,sometimes,no,no,no,no,52,w
167,7,often,no,no,no,no,no,yes,52,w
343,6,sometimes,no,no,no,no,no,yes,52,w
67,7,sometimes,no,no,no,no,no,yes,52,w
608,7,often,sometimes,no,no,once,sometimes,yes,52,w
164,10,often,sometimes,sometimes,sometimes,no,no,no,50,w
267,6,sometimes,sometimes,sometimes,sometimes,no,no,no,50,w
457,5,often,often,often,no,no,often,no,50,w
816,2,often,no,no,no,no,no,yes,50,w
370,7,often,no,no,no,no,no,yes,50,w
433,8,often,sometimes,sometimes,no,no,sometimes,no,48,w
535,6,often,often,often,sometimes,no,often,yes,48,w
898,6,often,often,often,sometimes,no,often,yes,48,w
508,8,often,once,no,no,no,once,yes,47,w
106,6,sometimes,often,often,no,sometimes,once,no,46,w
356,7,often,often,often,no,no,no,yes,46,w
223,8,often,often,often,no,no,no,yes,46,w
672,7,often,often,often,no,no,often,yes,46,w
79,7,often,no,no,no,no,no,no,45,w
853,7,sometimes,sometimes,sometimes,no,no,sometimes,no,45,w
871,7,often,often,sometimes,sometimes,sometimes,sometimes,no,45,w
145,6,sometimes,once,once,no,no,no,yes,45,w
135,6,often,often,often,often,no,often,yes,45,w
131,7,often,often,often,sometimes,sometimes,sometimes,yes,45,w
959,8,often,often,often,no,no,no,yes,44,w
331,4,often,sometimes,sometimes,no,no,no,yes,44,w
369,7,sometimes,sometimes,sometimes,no,no,no,yes,44,w
378,6,often,often,often,sometimes,no,once,yes,44,w
132,10,sometimes,sometimes,once,sometimes,sometimes,no,no,43,w
552,7,often,often,sometimes,sometimes,once,often,yes,43,w
555,7,no,often,no,often,no,often,no,42,w
705,7,often,often,often,often,sometimes,no,yes,42,w
791,7,yes,sometimes,yes,sometimes,yes,no,yes,42,w
717,5,sometimes,sometimes,sometimes,no,no,no,yes,41,w
629,8,often,often,sometimes,sometimes,sometimes,no,yes,41,w
636,8,often,often,often,sometimes,no,sometimes,yes,41,w
450,6,often,no,no,no,no,no,no,40,w
784,9,yes,no,no,no,no,no,no,40,w
458,6,often,often,often,no,no,often,no,40,w
726,8,sometimes,no,no,no,no,no,yes,40,w
509,7,sometimes,sometimes,no,sometimes,no,no,yes,40,w
580,6,often,sometimes,once,sometimes,once,no,yes,40,w
360,10,often,often,often,no,sometimes,often,yes,40,w
544,5,no,sometimes,no,no,no,sometimes,yes,40,w
547,5,sometimes,sometimes,sometimes,no,no,sometimes,yes,40,w
29,6,often,sometimes,yes,sometimes,no,no,no,39,w
828,6,often,sometimes,sometimes,no,no,sometimes,no,39,w
827,8,sometimes,sometimes,sometimes,no,no,sometimes,no,39,w
40,7,sometimes,yes,yes,no,no,no,yes,39,w
591,8,often,sometimes,sometimes,sometimes,no,no,yes,38,w
354,4,often,often,often,no,no,often,yes,38,w
868,8,often,often,often,sometimes,sometimes,often,no,37,w
869,8,often,sometimes,sometimes,no,no,sometimes,no,37,w
510,4,sometimes,no,no,no,no,no,yes,37,w
720,5,often,often,often,no,no,no,yes,37,w
332,8,sometimes,often,often,no,no,no,yes,37,w
181,5,often,often,often,sometimes,no,no,yes,37,w
220,8,sometimes,sometimes,sometimes,sometimes,no,no,yes,37,w
75,5,sometimes,sometimes,once,no,once,no,no,36,w
724,6,often,sometimes,sometimes,no,no,no,yes,36,w
367,5,often,often,often,sometimes,often,no,yes,36,w
165,6,often,often,sometimes,sometimes,no,often,yes,36,w
146,6,often,sometimes,once,no,no,sometimes,yes,36,w
747,7,often,no,no,no,no,no,yes,35,w
977,7,no,sometimes,sometimes,no,no,no,yes,35,w
24,4,often,sometimes,sometimes,sometimes,no,no,yes,35,w
488,8,often,yes,no,yes,no,no,yes,35,w
736,7,often,once,no,once,no,no,no,34,w
190,7,often,often,often,no,often,no,no,34,w
34,8,often,often,often,often,no,no,yes,34,w
224,7,sometimes,sometimes,sometimes,no,no,sometimes,yes,34,w
887,8,often,sometimes,sometimes,no,once,no,no,33,w
583,5,sometimes,sometimes,sometimes,no,no,no,yes,33,w
924,7,sometimes,sometimes,sometimes,once,no,no,yes,33,w
219,7,sometimes,sometimes,sometimes,sometimes,no,no,yes,33,w
244,7,often,once,no,no,no,once,yes,33,w
306,9,sometimes,often,sometimes,sometimes,no,sometimes,yes,33,w
317,7,sometimes,no,no,no,no,no,no,32,w
815,6,sometimes,often,sometimes,no,often,no,no,32,w
854,6,often,often,often,no,no,sometimes,no,32,w
283,7,often,sometimes,sometimes,no,no,no,yes,32,w
269,7,sometimes,sometimes,sometimes,no,no,no,yes,32,w
344,9,sometimes,sometimes,sometimes,no,no,no,yes,32,w
113,7,sometimes,often,sometimes,often,no,no,yes,32,w
182,7,often,often,often,no,no,sometimes,yes,32,w
531,8,often,sometimes,no,no,no,sometimes,no,31,w
831,8,often,sometimes,sometimes,no,no,sometimes,no,31,w
753,9,often,no,no,no,no,no,yes,31,w
293,7,often,sometimes,sometimes,no,no,no,yes,31,w
277,8,sometimes,sometimes,sometimes,no,no,no,yes,31,w
350,6,sometimes,sometimes,sometimes,sometimes,no,no,yes,31,w
748,7,often,sometimes,no,once,once,no,yes,31,w
97,6,often,sometimes,sometimes,sometimes,once,no,yes,31,w
530,10,sometimes,often,often,sometimes,once,once,yes,31,w
465,7,often,sometimes,sometimes,no,no,sometimes,yes,31,w
640,5,often,often,sometimes,sometimes,no,sometimes,yes,31,w
464,4,often,often,often,no,sometimes,sometimes,yes,31,w
529,8,no,once,no,once,no,no,no,30,w
752,7,often,no,no,no,no,no,yes,30,w
305,8,sometimes,often,often,sometimes,no,no,yes,30,w
961,8,often,sometimes,once,sometimes,no,no,yes,30,w
592,8,often,sometimes,sometimes,once,once,no,yes,30,w
20,6,often,sometimes,sometimes,sometimes,once,no,yes,30,w
807,8,sometimes,sometimes,sometimes,sometimes,yes,no,yes,30,w
888,4,often,often,often,often,sometimes,often,yes,30,w
170,6,often,often,often,sometimes,sometimes,often,yes,30,w
956,7,often,often,often,sometimes,no,once,yes,30,w
411,7,often,often,often,no,no,sometimes,yes,30,w
528,6,sometimes,sometimes,once,no,once,sometimes,yes,30,w
60,5,often,sometimes,sometimes,no,no,no,no,29,w
56,7,sometimes,sometimes,sometimes,no,no,no,no,29,w
981,7,sometimes,no,no,no,no,no,yes,29,w
907,6,often,sometimes,sometimes,no,no,no,yes,29,w
899,8,often,sometimes,sometimes,no,no,no,yes,29,w
278,8,sometimes,often,sometimes,often,no,no,yes,29,w
566,7,often,sometimes,no,sometimes,no,no,yes,29,w
506,5,sometimes,no,no,no,no,no,no,28,w
338,8,sometimes,often,often,sometimes,sometimes,no,no,28,w
970,7,sometimes,often,sometimes,once,sometimes,sometimes,no,28,w
978,6,sometimes,no,no,no,no,no,yes,28,w
776,8,sometimes,sometimes,sometimes,no,no,no,yes,28,w
820,8,sometimes,often,no,no,no,often,yes,28,w
818,9,often,often,sometimes,no,no,often,yes,28,w
906,10,sometimes,often,sometimes,sometimes,often,sometimes,yes,28,w
795,8,often,often,often,no,no,yes,yes,28,w
58,5,yes,sometimes,yes,once,no,yes,yes,28,w
284,8,often,sometimes,sometimes,no,no,no,no,27,w
37,6,sometimes,no,no,no,no,no,yes,27,w
734,6,sometimes,no,no,no,no,no,yes,27,w
280,7,sometimes,no,no,no,no,no,yes,27,w
9,7,sometimes,sometimes,sometimes,no,no,no,yes,27,w
611,7,sometimes,sometimes,once,no,no,once,yes,27,w
670,6,often,sometimes,no,no,no,sometimes,yes,27,w
517,6,often,sometimes,sometimes,no,no,sometimes,yes,27,w
407,7,often,often,sometimes,sometimes,no,sometimes,yes,27,w
325,6,sometimes,often,sometimes,often,sometimes,sometimes,yes,27,w
954,8,often,no,no,no,no,no,no,26,w
844,6,sometimes,sometimes,sometimes,no,once,sometimes,no,26,w
894,8,often,no,no,no,no,no,yes,26,w
87,7,no,often,often,no,no,no,yes,26,w
363,6,sometimes,sometimes,sometimes,no,no,no,yes,26,w
453,7,often,often,often,sometimes,no,no,yes,26,w
902,5,sometimes,sometimes,sometimes,no,sometimes,no,yes,26,w
799,8,often,often,often,no,no,sometimes,yes,26,w
632,8,sometimes,sometimes,sometimes,no,no,sometimes,yes,26,w
842,6,sometimes,often,often,sometimes,no,sometimes,yes,26,w
630,8,often,sometimes,sometimes,no,once,sometimes,yes,26,w
225,7,often,often,sometimes,sometimes,sometimes,sometimes,yes,26,w
603,9,no,once,no,no,no,once,no,25,w
593,8,often,sometimes,sometimes,no,no,no,yes,25,w
742,4,often,often,no,often,no,no,yes,25,w
980,8,sometimes,sometimes,no,sometimes,no,no,yes,25,w
814,10,often,often,often,sometimes,no,no,yes,25,w
65,9,often,sometimes,once,sometimes,no,no,yes,25,w
810,10,often,yes,no,yes,no,no,yes,25,w
273,6,often,often,often,sometimes,sometimes,no,yes,25,w
241,10,often,sometimes,sometimes,sometimes,once,once,yes,25,w
362,6,often,sometimes,no,no,no,sometimes,yes,25,w
186,8,often,often,often,often,sometimes,sometimes,yes,25,w
175,6,sometimes,sometimes,no,sometimes,no,no,no,24,w
304,8,sometimes,often,often,sometimes,no,no,no,24,w
18,6,often,sometimes,sometimes,no,sometimes,no,no,24,w
339,8,sometimes,often,often,sometimes,no,sometimes,no,24,w
405,8,often,no,no,no,no,no,yes,24,w
276,8,often,often,often,no,no,no,yes,24,w
966,8,sometimes,sometimes,sometimes,once,no,no,yes,24,w
740,8,often,sometimes,no,sometimes,no,no,yes,24,w
286,7,often,sometimes,sometimes,sometimes,no,no,yes,24,w
38,9,yes,yes,no,yes,no,no,yes,24,w
392,7,often,sometimes,no,sometimes,once,no,yes,24,w
585,7,often,sometimes,no,sometimes,sometimes,no,yes,24,w
257,6,often,often,often,sometimes,sometimes,once,yes,24,w
843,7,often,often,often,no,no,sometimes,yes,24,w
466,9,often,sometimes,sometimes,no,no,sometimes,yes,24,w
296,6,often,often,often,no,no,no,no,23,w
297,8,often,often,often,no,no,no,no,23,w
